time,seconds_elapsed,z,y,x
1772025716797071000,0.083071044921875,0.7528578042984009,0.26835644245147705,-0.07960285246372223
1772025716807068200,0.093068115234375,0.6797484755516052,0.21063563227653503,-0.21590636670589447
1772025716817066200,0.103066162109375,0.620307445526123,0.17751863598823547,-0.35558170080184937
1772025716827063000,0.11306298828125,0.5925620794296265,0.1596810519695282,-0.47192829847335815
1772025716837060000,0.12306005859375,0.594926655292511,0.17116974294185638,-0.5449888110160828
1772025716847058200,0.13305810546875,0.6202616095542908,0.2495090216398239,-0.5888151526451111
1772025716857055200,0.14305517578125,0.6771624684333801,0.3683421313762665,-0.6079204678535461
1772025716867052000,0.153052001953125,0.764587938785553,0.4716953933238983,-0.6171184778213501
1772025716877050000,0.163050048828125,0.8642860054969788,0.5269230008125305,-0.6245751976966858
1772025716887047200,0.173047119140625,0.9563887715339661,0.5417861342430115,-0.6268239617347717
1772025716897045200,0.183045166015625,1.0267027616500854,0.5490928888320923,-0.6181317567825317
1772025716907042000,0.1930419921875,1.0679465532302856,0.5381014943122864,-0.6008819341659546
1772025716917039000,0.2030390625,1.087592601776123,0.5013181567192078,-0.5746212601661682
1772025716927037200,0.213037109375,1.1066131591796875,0.45487287640571594,-0.5219870209693909
1772025716937034200,0.2230341796875,1.125557780265808,0.415050208568573,-0.4716852903366089
1772025716947031300,0.23303125,1.1301583051681519,0.3437134325504303,-0.43957075476646423
1772025716957029000,0.243029052734375,1.119626760482788,0.2204112410545349,-0.42850998044013977
1772025716967026200,0.253026123046875,1.0975427627563477,0.09146525710821152,-0.4258319139480591
1772025716977024000,0.26302392578125,1.0658445358276367,-0.010076550766825676,-0.41131287813186646
1772025716987021300,0.273021240234375,1.0375603437423706,-0.08241172879934311,-0.3897987902164459
1772025716997018000,0.28301806640625,1.014487624168396,-0.1411653608083725,-0.36830002069473267
1772025717007016200,0.29301611328125,0.9872533082962036,-0.18310216069221497,-0.3405112624168396
1772025717017013000,0.303012939453125,0.9461661577224731,-0.20386679470539093,-0.3047512173652649
1772025717027010300,0.31301025390625,0.9020452499389648,-0.18835707008838654,-0.2598689794540405
1772025717037008100,0.323008056640625,0.8747119903564453,-0.12384968996047974,-0.20398272573947906
1772025717047005200,0.333005126953125,0.8715649247169495,-0.030081652104854584,-0.14008469879627228
1772025717057003300,0.343003173828125,0.8842633962631226,0.028411835432052612,-0.08938710391521454
1772025717067000000,0.353,0.89058917760849,0.032585274428129196,-0.05996423959732056
1772025717076997000,0.3629970703125,0.887692391872406,0.015528448857367039,-0.03884989395737648
1772025717086995200,0.3729951171875,0.8656885623931885,-0.02240641787648201,-0.01657921075820923
1772025717096992300,0.3829921875,0.8316056132316589,-0.05252208188176155,0.020680205896496773
1772025717106989000,0.392989013671875,0.7793983221054077,-0.0730060562491417,0.06197917461395264
1772025717116987100,0.402987060546875,0.7285809516906738,-0.10290144383907318,0.09666698426008224
1772025717126984200,0.412984130859375,0.6871933341026306,-0.16113625466823578,0.11932968348264694
1772025717136982300,0.422982177734375,0.6492799520492554,-0.2327399104833603,0.13853414356708527
1772025717146979000,0.43297900390625,0.6147704124450684,-0.27461543679237366,0.15323372185230255
1772025717156976000,0.44297607421875,0.6052082180976868,-0.27642303705215454,0.18323875963687897
1772025717166974000,0.452973876953125,0.5941134691238403,-0.27790188789367676,0.20857606828212738
1772025717176971300,0.46297119140625,0.5575211644172668,-0.2811450660228729,0.2013920098543167
1772025717186968000,0.472968017578125,0.5081517696380615,-0.2814026176929474,0.15532438457012177
