time,seconds_elapsed,z,y,x
1771956811380077600,0.08507763671875,0.030781507232785225,-0.006846431828662753,0.04488444039518945
1771956811400040700,0.105040771484375,-0.0224953249245882,-0.009702405781671404,-0.011817288176948205
1771956811420003300,0.12500341796875,0.046937692263722415,0.049105574354715645,-0.012590044381422921
1771956811439966500,0.144966552734375,0.05057692554891109,0.006268558875471353,-0.015004083253210409
1771956811459929300,0.164929443359375,-0.09986965650618075,0.024864099882543084,-0.01249916949388571
1771956811479892500,0.184892578125,-0.05251695370078086,-0.07865045246463269,0.07625394011638127
1771956811499855600,0.204855712890625,-0.048587213036417956,-0.06449453787282108,0.0401435020789504
1771956811519818500,0.224818603515625,-0.08308160331249237,0.024166838333383203,-0.01909146216469817
1771956811539781600,0.24478173828125,0.05195815077424049,-0.00040131080988794565,0.016715919539239257
1771956811559744500,0.26474462890625,0.009831073662638664,0.02099478416852653,-0.060260955423675475
1771956811579707000,0.284706787109375,0.059927522218227385,0.04716108922343701,0.006075063863676041
1771956811599670000,0.304669921875,-0.027318215036392212,-0.029398236180841922,-0.005039309341460466
1771956811619633000,0.3246328125,-0.08683715645372866,0.029615239932388064,-0.005638170283753425
1771956811639594800,0.3445947265625,0.023144728744029997,0.004910897188819945,0.0066551653065718705
1771956811659558000,0.364557861328125,0.01770925969183445,-0.013525763462111352,-0.007722164350422099
1771956811679520800,0.384520751953125,-0.06960486662387848,0.012206862883269786,-0.017281179606029762
1771956811699484000,0.40448388671875,-0.025749358284473417,-0.02018770556934178,0.0017025570010300725
1771956811719446800,0.42444677734375,-0.04066168073415756,-0.04363269590158015,0.014861861770926042
1771956811739410000,0.444409912109375,-0.03980243355631828,0.00667622636090964,0.013914744513388722
1771956811759373000,0.464373046875,-0.006223989081382751,-0.005427614539302885,-0.01687134756296873
1771956811779336000,0.4843359375,-0.0202864167034626,0.005077778188325464,-0.011541777437506243
1771956811799299000,0.504299072265625,-0.017016601252555847,0.009088402069173752,-0.009114632488973437
1771956811819261700,0.52426171875,0.004841594812273979,0.01807334376387298,-0.00493334648264572
1771956811839224800,0.544224853515625,-0.025273557466268536,0.017792773256823418,0.003991371191106737
