time,seconds_elapsed,z,y,x
1772024884394916000,0.071916015625,-0.1004638671875,-0.0787612646818161,-0.088229238986969
1772024884404911900,0.081911865234375,-0.10647115856409073,-0.10191664844751358,-0.08464755117893219
1772024884414909000,0.091908935546875,-0.11537644267082214,-0.11063075810670853,-0.08026181161403656
1772024884424906000,0.101906005859375,-0.12847015261650085,-0.10738702863454819,-0.08056674152612686
1772024884434902800,0.11190283203125,-0.1442793309688568,-0.09209252893924713,-0.08137765526771545
1772024884444899000,0.121899169921875,-0.16494280099868774,-0.07995064556598663,-0.08713327348232269
1772024884454895900,0.131895751953125,-0.1809077262878418,-0.0738910660147667,-0.08567562699317932
1772024884464893200,0.14189306640625,-0.19900444149971008,-0.07128729671239853,-0.0788336992263794
1772024884474890000,0.151889892578125,-0.21226580440998077,-0.058923762291669846,-0.07717837393283844
1772024884484886800,0.16188671875,-0.2277102768421173,-0.06364847719669342,-0.0756494551897049
1772024884494883000,0.171883056640625,-0.23380133509635925,-0.06763637065887451,-0.07681970298290253
1772024884504879900,0.1818798828125,-0.2359992414712906,-0.06772532314062119,-0.07498771697282791
1772024884514877200,0.191877197265625,-0.23711766302585602,-0.06954541057348251,-0.07200145721435547
1772024884524874000,0.2018740234375,-0.2311716228723526,-0.0564088374376297,-0.06451105326414108
1772024884534870000,0.2118701171875,-0.22680579125881195,-0.02877771109342575,-0.05340718477964401
1772024884544867000,0.2218671875,-0.22749102115631104,-0.0023959041573107243,-0.04503021016716957
1772024884554863900,0.23186376953125,-0.23891082406044006,0.019090166315436363,-0.03375158831477165
1772024884564861200,0.241861083984375,-0.24819698929786682,0.022239886224269867,-0.029720628634095192
1772024884574857000,0.25185693359375,-0.2643704116344452,0.020024888217449188,-0.029355481266975403
1772024884584853800,0.261853759765625,-0.282351016998291,0.024569306522607803,-0.023340465500950813
1772024884594851000,0.27185107421875,-0.29536542296409607,0.016013197600841522,-0.013108229264616966
1772024884604847900,0.281847900390625,-0.3127542734146118,0.008718532510101795,0.003583398647606373
1772024884614844200,0.29184423828125,-0.328124463558197,0.005419707391411066,0.01352890394628048
1772024884624841000,0.301841064453125,-0.3470054566860199,0.01219505537301302,0.018541239202022552
1772024884634838000,0.311838134765625,-0.36661502718925476,0.03125251084566116,0.01959128864109516
1772024884644835000,0.3218349609375,-0.3784674108028412,0.050989195704460144,0.017143310979008675
1772024884654831900,0.331831787109375,-0.3764875829219818,0.06561186909675598,0.012898093089461327
