time,seconds_elapsed,z,y,x
1772024959656105200,0.083105224609375,-5.010977565467357,-9.438797515338658,-0.23493849055692553
1772024959666102300,0.093102294921875,-3.7076959960401057,-10.682383033215999,-1.097995655138418
1772024959676099300,0.103099365234375,-3.378720646783709,-11.82844574997425,-1.9976969353757799
1772024959686096100,0.11309619140625,-3.6811961116492746,-8.745177537551521,-0.9445793365575372
1772024959696094200,0.12309423828125,-3.9006069243371484,-4.766795299616455,0.5082588072825223
1772024959706091300,0.13309130859375,-2.8565561368107795,-1.4904133298009634,1.5320722048789261
1772024959716088300,0.14308837890625,-2.548071202397346,1.8330775971919298,1.9443363704577088
1772024959726085000,0.153085205078125,-2.9423668728262182,4.07330391664505,2.2316651195958257
1772024959736082400,0.16308251953125,-2.736247503387928,5.086605930164456,2.275011947760731
1772024959746079200,0.173079345703125,-1.4079635946512221,5.131609439495206,1.9208669398039577
1772024959756076300,0.183076171875,0.4772182837873697,4.909515086811781,1.5283692587077617
1772024959766073300,0.1930732421875,2.1729460963845253,4.916922148197889,1.1978710837982594
1772024959776070100,0.203070068359375,3.2614597104936838,4.645728833563625,0.49548649253621696
1772024959786068200,0.213068115234375,4.410881090030074,3.891793795545399,-0.5552064364183694
1772024959796065300,0.223065185546875,6.164178463542461,3.0486651010751724,-1.5985174384281038
1772024959806062300,0.233062255859375,7.629503529316186,3.155987411674857,-1.5834474411986768
1772024959816059400,0.243059326171875,7.483232771641015,3.3634909289479253,-1.173635564142838
1772024959826056200,0.25305615234375,6.336579687774181,3.112206137615442,-0.8908481847614049
1772024959836053200,0.26305322265625,4.84256219600141,2.6303531797647475,-0.08957969662752002
1772024959846050300,0.27305029296875,3.167338242250681,1.9762392829358577,0.6386307887539268
1772024959856047000,0.283047119140625,2.2223943101644514,1.119663662393391,0.5849921375468373
1772024959866045200,0.293045166015625,1.756429241797328,1.034712758077681,1.1497743576925248
1772024959876042200,0.303042236328125,1.8925135365009307,2.0019789966091515,1.7369411358647047
1772024959886039300,0.313039306640625,3.3348242219120263,2.5475968628838657,1.3258495211966335
